tournament,year,stage,date,home_team,home_score,away_team,away_score,neutral
1930 FIFA Men's World Cup,1930,Group 1,1930-07-13,France,4,Mexico,1,1
1930 FIFA Men's World Cup,1930,Group 4,1930-07-13,United States,3,Belgium,0,1
1930 FIFA Men's World Cup,1930,Group 2,1930-07-14,Yugoslavia,2,Brazil,1,1
1930 FIFA Men's World Cup,1930,Group 3,1930-07-14,Romania,3,Peru,1,1
1930 FIFA Men's World Cup,1930,Group 1,1930-07-15,Argentina,1,France,0,1
1930 FIFA Men's World Cup,1930,Group 1,1930-07-16,Chile,3,Mexico,0,1
1930 FIFA Men's World Cup,1930,Group 2,1930-07-17,Yugoslavia,4,Bolivia,0,1
1930 FIFA Men's World Cup,1930,Group 4,1930-07-17,United States,3,Paraguay,0,1
1930 FIFA Men's World Cup,1930,Group 3,1930-07-18,Uruguay,1,Peru,0,0
1930 FIFA Men's World Cup,1930,Group 1,1930-07-19,Argentina,6,Mexico,3,1
1930 FIFA Men's World Cup,1930,Group 1,1930-07-19,Chile,1,France,0,1
1930 FIFA Men's World Cup,1930,Group 2,1930-07-20,Brazil,4,Bolivia,0,1
1930 FIFA Men's World Cup,1930,Group 4,1930-07-20,Paraguay,1,Belgium,0,1
1930 FIFA Men's World Cup,1930,Group 3,1930-07-21,Uruguay,4,Romania,0,0
1930 FIFA Men's World Cup,1930,Group 1,1930-07-22,Argentina,3,Chile,1,1
1930 FIFA Men's World Cup,1930,semi-finals,1930-07-26,Argentina,6,United States,1,1
1930 FIFA Men's World Cup,1930,semi-finals,1930-07-27,Uruguay,6,Yugoslavia,1,0
1930 FIFA Men's World Cup,1930,final,1930-07-30,Uruguay,4,Argentina,2,0
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Austria,3,France,2,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Czechoslovakia,2,Romania,1,1
1934 FIFA Men's World Cup,1934,round of 16,1934-05-27,Germany,5,Belgium,2,1
